id,name,district,state,latitude,longitude,verification_status,contact_phone,contact_email,operating_hours,storage_capacity_units,is_active
1,Red Cross Regional Blood Centre - Pune #1,Pune,Maharashtra,18.645884,73.42921,VERIFIED,+91 79012 42098,bloodbank.pune1@medflow.gov.in,24x7 Emergency,750,True
2,Jeevan Jyoti Blood Bank - Pune #2,Pune,Maharashtra,18.600739,74.135187,VERIFIED,+91 70212 30926,bloodbank.pune2@medflow.gov.in,24x7 Emergency,1200,True
3,Sanjivani Rotary Blood Bank - Pune #3,Pune,Maharashtra,18.816864,73.963368,VERIFIED,+91 98236 57400,bloodbank.pune3@medflow.gov.in,24x7 Emergency,1500,True
4,Civil Hospital Blood Centre - Pune #4,Pune,Maharashtra,18.702038,74.021893,VERIFIED,+91 72339 89840,bloodbank.pune4@medflow.gov.in,24x7 Emergency,750,True
5,Samarth Blood Bank & Component Lab - Pune #5,Pune,Maharashtra,18.892223,73.917162,VERIFIED,+91 93524 51245,bloodbank.pune5@medflow.gov.in,24x7 Emergency,750,True
6,Sahyadri Charitable Blood Centre - Pune #6,Pune,Maharashtra,18.750604,74.181693,VERIFIED,+91 75008 92240,bloodbank.pune6@medflow.gov.in,24x7 Emergency,750,True
7,Apex Lifeline Blood Centre - Pune #7,Pune,Maharashtra,18.212742,73.409621,VERIFIED,+91 93661 44522,bloodbank.pune7@medflow.gov.in,24x7 Emergency,1500,True
8,National Model Blood Bank - Pune #8,Pune,Maharashtra,18.86125,74.155199,VERIFIED,+91 80076 41385,bloodbank.pune8@medflow.gov.in,24x7 Emergency,500,True
9,District Health Mission Blood Centre - Pune #9,Pune,Maharashtra,18.906422,74.086439,PROVISIONAL,+91 92605 36365,bloodbank.pune9@medflow.gov.in,24x7 Emergency,1000,True
10,Ayurseva Voluntary Blood Bank - Pune #10,Pune,Maharashtra,18.844072,73.470472,PENDING_AUDIT,+91 77798 46500,bloodbank.pune10@medflow.gov.in,24x7 Emergency,1200,True
11,Red Cross Regional Blood Centre - Satara #1,Satara,Maharashtra,17.819192,74.387032,VERIFIED,+91 73224 17944,bloodbank.satara1@medflow.gov.in,24x7 Emergency,1200,True
12,Jeevan Jyoti Blood Bank - Satara #2,Satara,Maharashtra,18.021594,74.278657,VERIFIED,+91 75449 63269,bloodbank.satara2@medflow.gov.in,24x7 Emergency,1200,True
13,Sanjivani Rotary Blood Bank - Satara #3,Satara,Maharashtra,17.743844,74.033456,VERIFIED,+91 94509 51104,bloodbank.satara3@medflow.gov.in,24x7 Emergency,500,True
14,Civil Hospital Blood Centre - Satara #4,Satara,Maharashtra,17.312293,73.665287,VERIFIED,+91 91540 86503,bloodbank.satara4@medflow.gov.in,24x7 Emergency,1500,True
15,Samarth Blood Bank & Component Lab - Satara #5,Satara,Maharashtra,18.027108,74.304391,VERIFIED,+91 98811 42018,bloodbank.satara5@medflow.gov.in,24x7 Emergency,1000,True
